Side,Win,Champion,KDA,Deathtime,Length,Starttime
red,win,Rengar,15-10-11,264,1382831,1628222797013
red,loss,Chogath,5-7-6,122,653589,1628221982043
red,win,Gragas,18-7-28,248,1723206,1628220109973
red,win,Twitch,19-3-15,62,721410,1628212536457
blue,loss,Xerath,17-8-33,238,1463397,1628210852940
red,win,Singed,11-12-38,371,1656473,1628208999497
blue,loss,MissFortune,11-10-29,269,1596059,1628117558644
blue,loss,Garen,28-16-29,473,1900635,1628115457244
red,loss,Aatrox,6-7-11,120,741698,1628104697209
blue,win,Katarina,5-8-11,198,1113840,1628057629962
blue,win,Nautilus,7-6-25,158,1208077,1628056181953
red,win,Vladimir,9-10-18,314,1513756,1628054387412
blue,win,Rengar,20-7-17,208,1165383,1628052873999
red,win,Bard,11-8-36,202,1579135,1627931844460
red,win,LeeSin,21-7-18,186,1497808,1627930097825
blue,loss,Zac,13-7-21,178,1583095,1627928268167
red,loss,Khazix,20-10-14,284,1543591,1627891440382
red,win,Azir,18-10-17,236,1456003,1627889740578
red,loss,Yone,4-9-4,156,698875,1627888897256
red,win,Ekko,17-11-32,294,1532023,1627887177511
red,win,Lucian,10-7-17,182,1083853,1627885936457
red,loss,Rengar,7-8-9,126,909664,1627774671241
red,loss,Darius,2-8-5,158,727321,1627773802372
blue,win,Gangplank,13-7-20,198,1338838,1627772294402
blue,loss,Heimerdinger,7-10-23,276,1227088,1627770807567
blue,loss,Kaisa,16-10-9,244,1316784,1627764620617
blue,win,Singed,10-8-34,216,1567065,1627762820028
red,win,Aatrox,7-6-29,136,1135878,1627761459792
blue,loss,Jinx,10-6-8,112,1026024,1627666910430
red,loss,Aphelios,12-11-37,284,1351786,1627627613309
red,loss,Darius,10-8-18,184,1012362,1627626303154
red,win,LeeSin,8-6-16,172,1160977,1627624923575
blue,loss,Ekko,9-8-18,186,972500,1627584251142
red,loss,AurelionSol,3-10-14,184,796833,1627577776205
red,loss,Darius,6-8-6,130,741008,1627525087842
red,win,Nunu,11-4-28,84,889619,1627524021763
blue,win,Thresh,3-7-42,202,1541177,1627015192241
blue,win,Vladimir,20-5-27,148,1207563,1626674137137
blue,win,Zilean,10-12-43,352,1521584,1626653146991
blue,loss,Jayce,7-6-13,106,932529,1626633087838
blue,win,Lulu,4-6-36,154,1279733,1626631533396
red,win,Karma,11-7-11,180,1155256,1626630169460
red,win,Singed,17-11-25,292,1405466,1626566814845
red,loss,Viktor,5-10-9,184,808822,1626549382739
red,loss,Garen,18-9-6,198,1036550,1626500310238
red,win,Leblanc,17-7-8,208,1306298,1626474050465
red,win,LeeSin,8-4-14,80,761683,1626456726697
blue,win,Nautilus,9-8-31,270,1838782,1626383210323
